objectid,referenceCode,legacyId,parentId,qubitParentSlug,accessionNumber,title,radGeneralMaterialDesignation,alternateTitle,radOtherTitleInformation,radTitleStatementOfResponsibility,radTitleStatementOfResponsibilityNote,radTitleAttributionsAndConjectures,radTitleContinues,radTitleSourceOfTitleProper,radTitleVariationsInTitle,radTitleParallelTitles,levelOfDescription,repository,identifier,radEdition,radEditionStatementOfResponsibility,radStatementOfScaleCartographic,radStatementOfProjection,radStatementOfCoordinates,radStatementOfScaleArchitectural,radIssuingJurisdiction,extentAndMedium,radTitleProperOfPublishersSeries,radParallelTitlesOfPublishersSeries,radOtherTitleInformationOfPublishersSeries,radStatementOfResponsibilityRelatingToPublishersSeries,radNumberingWithinPublishersSeries,radPublishersSeriesNote,radNoteOnPublishersSeries,archivalHistory,scopeAndContent,physicalCharacteristics,acquisition,arrangement,language,script,languageNote,locationOfOriginals,locationOfCopies,accessConditions,reproductionConditions,findingAids,relatedUnitsOfDescription,accruals,radNoteAccompanyingMaterial,radNoteAlphaNumericDesignation,radNoteConservation,radNoteEdition,radNotePhysicalDescription,radNotePublishersSeries,radNoteRights,radNoteSignaturesInscriptions,radNoteCast,radNoteCredits,radStandardNumber,subjectAccessPoints,placeAccessPoints,nameAccessPoints,genreAccessPoints,descriptionIdentifier,institutionIdentifier,rules,descriptionStatus,levelOfDetail,revisionHistory,languageOfDescription,scriptOfDescription,sources,publicationStatus,digitalObjectURI,digitalObjectChecksum,generalNote,appraisal,physicalObjectName,physicalObjectLocation,physicalObjectType,alternativeIdentifiers,alternativeIdentifierLabels,eventDates,eventTypes,eventStartDates,eventEndDates,eventDescriptions,eventActors,eventActorHistories,eventPlaces,slug,culture
coll001,RBSC-ARC-1021-07-03,343194,183481,,,"AUCE Annual Convention: amendments, minutes",Textual record,,,,,,,,,,File,University of British Columbia Library Rare Books and Special Collections,7-Mar,,,,,,,,1 file.,,,,,,,,,"File contains amendments and resolutions passed in the June 1976 annual Provincial AUCE Convention, and minutes of the convention. Topics discussed at the convention include local reports. Topics of the resolutions and constitutional amendments discussed include affiliation with other unions, a cross-local newsletter, access to research, formation of local sub-committees (such as on wage control), organization of unorganized workers, the per capita tax, the right to strike, absenteeism, office vacancy, strikebreaker discipline, provincial amendment ratification, AUCE staffing and job descriptions, revenue, and office administration.",,,,en,,,,,,,,,,,,,,,,,,,,,Labor unions--Canada (AUCE)|Labor unions--Discipline (AUCE)|Labor unions--Organizing (AUCE)|Strikebreakers (AUCE)|Strikes and lockouts (AUCE)|By-laws (AUCE)|Conference materials (AUCE),British Columbia|Vancouver (B.C.)|North Vancouver (B.C.),,Record-keeping works|Regulations,,,,,,,,,,published,,,Original file contains duplicate copies of convention minutes.,,,,,,,1976-06,Record-keeping activity,12/6/1976,27/06/1976,NULL,NULL,NULL,NULL,auce-annual-convention-amendments-minutes,en
coll002,,617051,343194,,,RBSC_ARC_1021_007_003_001.pdf,,,,,,,,,,,Item,University of British Columbia Library Rare Books and Special Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,published,https://rbscarchives.library.ubc.ca/uploads/r/university-of-british-columbia-library-rare-books-and-special-collections/7/4/4/744ea1099b9b3d1b8f52eca210fef6eb60c84663db8724526f9215182e54815c/1b46f476-9f12-45ab-9aee-40650596dc8c-RBSC_ARC_1021_007_003_001.pdf,744ea1099b9b3d1b8f52eca210fef6eb60c84663db8724526f9215182e54815c,,,,,,,,,,,,,,,,rbsc-arc-1021-007-003-001-pdf,en
coll003,,617059,343194,,,RBSC_ARC_1021_007_003_003.pdf,,,,,,,,,,,Item,University of British Columbia Library Rare Books and Special Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,published,https://rbscarchives.library.ubc.ca/uploads/r/university-of-british-columbia-library-rare-books-and-special-collections/9/e/1/9e11b44f7def03f4f558ab249738146f4798c376b698068d8aade4c801c4e304/d9e37170-fb4a-4bc4-a423-948c621fdf22-RBSC_ARC_1021_007_003_003.pdf,9e11b44f7def03f4f558ab249738146f4798c376b698068d8aade4c801c4e304,,,,,,,,,,,,,,,,rbsc-arc-1021-007-003-003-pdf,en
coll004,,183489,183468,,,"Photographs, Publications, News Clippings, and Ephemera",,,,,,,,Title based on the contents of series. ,,,Series,University of British Columbia Library Rare Books and Special Collections,,,,,,,,,"Extent: ca .3 metres of textual records and other materials.
793 b&w and col. photographs.
199 negatives.
37 slides.
23 pins.",,,,,,,,,"The series consists primarily of photographs and news-clippings of union members and union activities, along with other publications, and ephemera.

Publications include reports from the UBC University Librarian, British Columbia policy research and reports, and newsletters from the International Women’s Year in English and in French.

News clippings from The Ubyssey, The Vancouver Sun, The Province, and other newspapers document the press coverage of strikes and labour issues in British Columbia.

Ephemera includes metal pins supporting union efforts, posters, a scrapbook documenting the 1992 CUPE 2950 strike at UBC, as well as fliers and bulletins for union strikes and meetings.

Photographs span from the early 1970s until 2009 and include images of AUCE and CUPE workers on strike, at national conventions, and in meetings.. The series also contains original and photocopied newspaper clippings, buttons, typed reports on the history of the union, posters, fliers, bulletins and publications kept by the union as reference material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,published,,,,,,,,,,ca. 1973 - 2003,Creation,1973-00-00,2003-00-00,NULL,NULL,NULL,NULL,photographs-news-clippings-and-ephemera,en
coll005,RBSC-ARC-1021-09-05,343262,183489,,,Across Campus,Textual record,,,,,,,,,,File,University of British Columbia Library Rare Books and Special Collections,9-May,,,,,,,,1 file.,,,,,,,,,"File contains the March 1980 issue of Across Campus. Topics discussed include mediation of contract negotiations with UBC, pension plans, Graduate Student Centre membership, Steward Seminar, leaves of absence, reprints of newspaper articles, Christmas leave, union job descriptions, boycott news from the B.C. Federation of Labour, correspondence, and general membership meetings.",,,,en,,,,,,,,,,,,,,,,,,,,,Labor unions--Canada (AUCE)|Labor unions--Organizing (AUCE)|Labor unions--Officials and employees (AUCE),British Columbia|Vancouver (B.C.),,Periodicals,,,,,,,,,,published,,,,,,,,,,1980-03,Creation,1980-03-00,1980-03-00,NULL,NULL,NULL,NULL,across-campus,en
coll006,,557850,343262,,,RBSC_ARC_1021_009_005_001.pdf,,,,,,,,,,,Item,University of British Columbia Library Rare Books and Special Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,published,https://rbscarchives.library.ubc.ca/uploads/r/university-of-british-columbia-library-rare-books-and-special-collections/5/2/5/52516d4c4ed9cdc911240ceb072f584affebc6afc8f5d9c3391d94d5c3f8f6dc/29c6c180-9a7e-4f5c-af84-749162d99735-RBSC_ARC_1021_009_005_001.pdf,52516d4c4ed9cdc911240ceb072f584affebc6afc8f5d9c3391d94d5c3f8f6dc,,,,,,,,,,,,,,,,rbsc-arc-1021-009-005-001-pdf,en
coll007,RBSC-ARC-1021-09-06,343264,183489,,,The Public Employee,Textual record,,,,,,,,,,File,University of British Columbia Library Rare Books and Special Collections,9-Jun,,,,,,,,1 file.,,,,,,,,,"File contains the Spring 1983 issue of The Public Employee (vol.5, no.3). Article topics include national CUPE news, job discrimination in Canada, Canadian workplace productivity, labour movements and the law, and nursing home workers' rights.",,,,,,,,,,,,,,,,,,,,,,,,,Labor unions--Canada (AUCE)|Labor unions--Organizing (AUCE),Ottawa (Ont.)|Ontario,,Periodicals,,,,,,,,,,published,,,,,,,,,,1983,Publication,1983-00-00,1983-00-00,NULL,NULL,NULL,NULL,the-public-employee,en
coll008,,557861,343264,,,RBSC_ARC_1021_009_006_001.pdf,,,,,,,,,,,Item,University of British Columbia Library Rare Books and Special Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,published,https://rbscarchives.library.ubc.ca/uploads/r/university-of-british-columbia-library-rare-books-and-special-collections/2/b/4/2b478722ece3ce6387eb699cff897ae5ca5494e83becce94b22844f974e41d81/9910cd67-52ad-4b1f-9f0b-906d5f6ad7f7-RBSC_ARC_1021_009_006_001.pdf,2b478722ece3ce6387eb699cff897ae5ca5494e83becce94b22844f974e41d81,,,,,,,,,,,,,,,,rbsc-arc-1021-009-006-001-pdf,en
coll009,RBSC-ARC-1021-14-01,183620,183489,,,"[Publications, leaflets and other materials]",,,,,,,,,,,File,University of British Columbia Library Rare Books and Special Collections,14-Jan,,,,,,,,1 File.,,,,,,,,,"File contains several publications, leaflets, and bulletins, dated 1973 to 1974, including undated document entitled ""Forming A Union"" and clipping of 'How to Form A Union"" from  White Collar, a publication of the Office and Professional Employees International Union (OTEU), AFL-CIO and CIC, Labour Code of British Columbia Act, A.U.C.E. informational leaflets, and Hospital Employee's Union Proposed Settlement. Topics discussed include forming a union, reasons to join the union, wages and negotiations. File contains a publication from the Office and Professional Employees International Union, a copy of the 1974 Labour Code of British Columbia, and several leaflets and reports.",,,,,,,,,,,,,,,,,,,,,,,,,Labor unions--Canada (AUCE)|Labor unions--Officials and employees (AUCE)|Labor unions--Organizing (AUCE)|Legislation (AUCE),British Columbia|Vancouver (B.C.),,Broadsides|Ephemera|Laws|Leaflets|Protest literature,,,,,,,,,,published,,,1974 Labour Code of British Columbia has not been digitized.,,,,,,,1973 - 1974,Creation,1973-00-00,1974-00-00,NULL,NULL,NULL,NULL,union-formation-records,en
coll010,,557871,183620,,,RBSC_ARC_1021_014_001_001.pdf,,,,,,,,,,,Item,University of British Columbia Library Rare Books and Special Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,published,https://rbscarchives.library.ubc.ca/uploads/r/university-of-british-columbia-library-rare-books-and-special-collections/8/5/f/85ff3d2c5baa07366bea7d807e49cbc0583bacc9e3dd79021bef9ec589cc4492/ea457199-f89a-4ca8-ba11-eaf40d0e38ba-RBSC_ARC_1021_014_001_001.pdf,85ff3d2c5baa07366bea7d807e49cbc0583bacc9e3dd79021bef9ec589cc4492,,,,,,,,,,,,,,,,rbsc-arc-1021-014-001-001-pdf,en
